Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor
14,"R Blanco, P Boldi","Extending BM25 with multiple query operators",2012,"Proceedings of the 35th international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2348406","https://scholar.google.com/scholar?cites=17867432252547533381&as_sdt=5,47&sciodt=0,47&hl=en&num=20",63,"2017-12-15","","","","",0,0,0,0,14,2.80,7
2,"Z Zhang, Q Wang, L Si, J Gao","Learning for Efficient Supervised Query Expansion via Two-stage Feature Selection",2016,"… of the 39th International ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2911539","https://scholar.google.com/scholar?cites=2632419476352122697&as_sdt=5,47&sciodt=0,47&hl=en&num=20",64,"2017-12-15","","","","",0,0,0,0,2,2.00,1
100,"M Bendersky, D Metzler, WB Croft","Parameterized concept weighting in verbose queries",2011,"… of the 34th international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2009998","https://scholar.google.com/scholar?cites=13820096296740368365&as_sdt=5,47&sciodt=0,47&hl=en&num=20",65,"2017-12-15","","","","",0,0,0,0,100,16.67,33
93,"V Dang, WB Croft","Diversity by proportionality: an election-based approach to search result diversification",2012,"Proceedings of the 35th international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2348296","https://scholar.google.com/scholar?cites=9992061309901741590&as_sdt=5,47&sciodt=0,47&hl=en&num=20",66,"2017-12-15","","","","",0,0,0,0,93,18.60,47
4,"S Dominich","Paradox-free formal foundation of vector-space model",2002,"… of the ACM SIGIR 2002 workshop on …","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/ed9e/51d067fd84f42eb58adfa224fd032c90fe9b.pdf","https://scholar.google.com/scholar?cites=3510574717737761279&as_sdt=5,47&sciodt=0,47&hl=en&num=20",67,"2017-12-15","PDF","","","",0,0,0,0,4,0.27,4
35,"JS Culpepper, M Petri, F Scholer","Efficient in-memory top-k document retrieval",2012,"… of the 35th international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2348317","https://scholar.google.com/scholar?cites=5133410648743181986&as_sdt=5,47&sciodt=0,47&hl=en&num=20",68,"2017-12-15","","","","",0,0,0,0,35,7.00,12
19,"C Eickhoff, AP de Vries…","Copulas for information retrieval",2013,"… international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2484066","https://scholar.google.com/scholar?cites=12977886652755538528&as_sdt=5,47&sciodt=0,47&hl=en&num=20",69,"2017-12-15","","","","",0,0,0,0,19,4.75,6
34,"P Mahdabi, L Andersson, M Keikha…","Automatic refinement of patent queries using concept importance predictors",2012,"… international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2348353","https://scholar.google.com/scholar?cites=1946030524555456566&as_sdt=5,47&sciodt=0,47&hl=en&num=20",70,"2017-12-15","","","","",0,0,0,0,34,6.80,9
10,"L Xia, J Xu, Y Lan, J Guo, X Cheng","Modeling Document Novelty with Neural Tensor Network for Search Result Diversification",2016,"… of the 39th International ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2911498","https://scholar.google.com/scholar?cites=12492230814956472562&as_sdt=5,47&sciodt=0,47&hl=en&num=20",71,"2017-12-15","","","","",0,0,0,0,10,10.00,2
36,"V Dang, BW Croft","Term level search result diversification",2013,"Proceedings of the 36th international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2484095","https://scholar.google.com/scholar?cites=31636010093001319&as_sdt=5,47&sciodt=0,47&hl=en&num=20",72,"2017-12-15","","","","",0,0,0,0,36,9.00,18
40,"JY Jiang, YY Ke, PY Chien, PJ Cheng","Learning user reformulation behavior for query auto-completion",2014,"… the 37th international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2609614","https://scholar.google.com/scholar?cites=10610582089848094075&as_sdt=5,47&sciodt=0,47&hl=en&num=20",73,"2017-12-15","","","","",0,0,0,0,40,13.33,10
3,"JH Paik","A Probabilistic Model for Information Retrieval Based on Maximum Value Distribution",2015,"… 38th International ACM SIGIR Conference on Research …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2767762","https://scholar.google.com/scholar?cites=11329469636728540303&as_sdt=5,47&sciodt=0,47&hl=en&num=20",74,"2017-12-15","","","","",0,0,0,0,3,1.50,3
9,"X Zhou, JX Huang, B He","Enhancing ad-hoc relevance weighting using probability density estimation",2011,"… of the 34th international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2009943","https://scholar.google.com/scholar?cites=11415919897082621250&as_sdt=5,47&sciodt=0,47&hl=en&num=20",75,"2017-12-15","","","","",0,0,0,0,9,1.50,3
17,"R Berendsen, M Tsagkias, W Weerkamp…","Pseudo test collections for training and tuning microblog rankers",2013,"… international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2484063","https://scholar.google.com/scholar?cites=14134433941899604891&as_sdt=5,47&sciodt=0,47&hl=en&num=20",76,"2017-12-15","","","","",0,0,0,0,17,4.25,4
4,"V Lavrenko","Introduction to Probabilistic Models for Information Retrieval",2010,"… of the 33rd International ACM SIGIR …","homepages.inf.ed.ac.uk","http://homepages.inf.ed.ac.uk/vlavrenk/doc/pmir-1x2.pdf","https://scholar.google.com/scholar?cites=5932891486269179185&as_sdt=5,47&sciodt=0,47&hl=en&num=20",77,"2017-12-15","PDF","","","",0,0,0,0,4,0.57,4
1,"S Jameel, Z Bouraoui, S Schockaert","MEmbER: Max-Margin Based Embeddings for Entity Retrieval",2017,"… the 40th International ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=3080803","https://scholar.google.com/scholar?cites=11055642524791347889&as_sdt=5,47&sciodt=0,47&hl=en&num=20",78,"2017-12-15","","","","",0,0,0,0,1,1.00,0
